n, dt
0, 0.000162
1, 0.005297
2, 0.005344
3, 0.005368
4, 0.005566
5, 0.005587
6, 0.005586
7, 0.005585
8, 0.005607
9, 0.005830
10, 0.005504
11, 0.005517
12, 0.005589
13, 0.006066
14, 0.006019
15, 0.005758
16, 0.005587
17, 0.005844
18, 0.005754
19, 0.005898
20, 0.005555
21, 0.006024
22, 0.005785
23, 0.005820
24, 0.006217
25, 0.006139
26, 0.006090
27, 0.005828
28, 0.005895
29, 0.005602
30, 0.005665
31, 0.005746
32, 0.005567
33, 0.005576
34, 0.005563
35, 0.005675
36, 0.005708
37, 0.005767
38, 0.005925
39, 0.005935
40, 0.005776
41, 0.005629
42, 0.005555
43, 0.005808
44, 0.005753
45, 0.005933
46, 0.005930
47, 0.006063
48, 0.005942
49, 0.005959
50, 0.005951
51, 0.005760
52, 0.006133
53, 0.006097
54, 0.005902
55, 0.005924
56, 0.005669
57, 0.006109
58, 0.006043
59, 0.006168
60, 0.006253
61, 0.005874
62, 0.005706
63, 0.005640
64, 0.005957
65, 0.006124
66, 0.005920
67, 0.006103
68, 0.005714
69, 0.006296
70, 0.006124
71, 0.005692
72, 0.006106
73, 0.006020
74, 0.005831
75, 0.005749
76, 0.005809
77, 0.006189
78, 0.005688
79, 0.005899
80, 0.005948
81, 0.006134
82, 0.006130
83, 0.005968
84, 0.006111
85, 0.006096
86, 0.006203
87, 0.006036
88, 0.006051
89, 0.006053
90, 0.006130
91, 0.005942
92, 0.006115
93, 0.005934
94, 0.005959
95, 0.005960
96, 0.005934
97, 0.005740
98, 0.005570
99, 0.005654
100, 0.005617
101, 0.005525
102, 0.005565
103, 0.005587
104, 0.005619
105, 0.005623
106, 0.005791
107, 0.005541
108, 0.005800
109, 0.005656
110, 0.005577
111, 0.005697
112, 0.005555
113, 0.005585
114, 0.005604
115, 0.005580
116, 0.005611
117, 0.005765
118, 0.005648
119, 0.005641
120, 0.005573
121, 0.005605
122, 0.005668
123, 0.005600
124, 0.005604
125, 0.005647
126, 0.005574
127, 0.005633
128, 0.005551
129, 0.005520
130, 0.005661
131, 0.005613
132, 0.005685
133, 0.005624
134, 0.005609
135, 0.005614
136, 0.005693
137, 0.005443
138, 0.005447
139, 0.005383
140, 0.005387
141, 0.005401
142, 0.005458
143, 0.005482
144, 0.005456
145, 0.005414
146, 0.005458
147, 0.005361
148, 0.005308
149, 0.005390
150, 0.005362
